"Name","Links"
"FOCA","https://www.elevenpaths.com/labstools/foca/index.html"
"theHarvester","https://tools.kali.org/information-gathering/theharvester"
"Shodan","https://www.shodan.io/"
"Recon-ng","https://tools.kali.org/information-gathering/recon-ng"
"Censys","https://censys.io/"
"UserSearch","https://www.usersearch.org/"
"Using open source intelligence for cybersecurity intelligence","https://www.computerweekly.com/tip/Using-open-source-intelligence-software-for-cybersecurity-intelligence"
"Spy Agencies Turn to Newspapers, NPR, and Wikipedia for Information: The intelligence community is learning to value 'open-source' information","https://www.usnews.com/articles/news/national/2008/09/12/spy-agencies-turn-to-newspapers-npr-and-wikipedia-for-information.html"
"The U.S. Intelligence Community","https://books.google.com/books?id=4sxVDgAAQBAJ&pg=PT284&lpg=PT284"
"Intelligence and the national security strategist : enduring issues and challenges","https://books.google.com/books?id=jJxyIb2hN4MC&pg=PA273&lpg=PA273"
"Service members, civilians learn to harness power of 'Open Source' information","https://www.army.mil/article/94007/Service_members__civilians_learn_to_harness_power_of__Open_Source__information"
"9-11 Commission Report (pdf)","https://www.9-11commission.gov/report/911Report_FM.pdf"
"ODNI Announces Establishment of Open Source Center","http://www.dni.gov/press_releases/20051108_release.htm"
"The Situation Report: Open source intelligence center","http://www.cnn.com/2005/POLITICS/11/08/sr.tues/"
"ODNI Senior Leadership Announcement","http://www.dni.gov/press_releases/20051207_release.htm"
"National Open Source Entreprise Vision Statement","https://upload.wikimedia.org/wikipedia/en/b/b4/NationalOpenSourceEnterprise.pdf"
"DNI Open Source Conference 2008 ""Decision Advantage"" agenda, Office of the Director of National Intelligence, July 2008.","http://www.dniopensource.org/Conference/Agenda.aspx"
"DNI Open Source Conference 2007 ""Expanding the Horizons"" agenda, Office of the Director of National Intelligence, July 2007.","http://www.dniopensource2007.com/sessions.cfm"
"Reexamining the Distinction Between Open Information and Secrets – Central Intelligence Agency","https://www.cia.gov/library/center-for-the-study-of-intelligence/csi-publications/csi-studies/studies/Vol49no2/reexamining_the_distinction_3.htm"
"Intelligence Failures","https://books.google.com/books?id=R1YMCAAAQBAJ&pg=PT81&lpg=PT81&dq=In+OSINT,+the+chief+difficulty+is+in+identifying+relevant,+reliable+sources+from+the+vast+amount+of+publicly+available+information.#v=onepage"
"National Open Source Enterprise","https://fas.org/irp/dni/icd/icd-301.pdf"
"WashTimes.com","http://www.washtimes.com/national/20060418-110124-3694r.htm"
"GCN.com","https://web.archive.org/web/20081201184220/http://www.gcn.com/print/25_6/40152-1.html"
"AFCEA.org","http://www.afcea.org/content/?q=node/1102"
"FindAcricles.com","https://web.archive.org/web/20080310024429/http://findarticles.com/p/articles/mi_m0IBS/is_4_31/ai_n16419797"
"FAS.org","https://fas.org/irp/congress/2005_hr/062105jardines.pdf"
"FirstMonday.org","http://www.firstmonday.org/issues/issue7_6/stalder/"
"Forbes.com","https://www.forbes.com/2008/11/21/maltego-data-mining-identity08-tech-cz-tb_1121maltego.html"
"Open-Source Spying","https://www.nytimes.com/2006/12/03/magazine/03intelligence.html"
"Cnet.com","http://news.cnet.com/8301-13505_3-10107648-16.html"
"The Dilemma of Open Source Intelligence: Is OSINT Really Intelligence?","https://www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195375886.001.0001/oxfordhb-9780195375886-e-0014"
"Cody Burke: 'Freeing knowledge, telling secrets: Open source intelligence and development', Bond University, May 2007","http://epublications.bond.edu.au/cgi/viewcontent.cgi?article=1010&context=cewces_papers"
"Florian Schaurer, Jan Störger: 'The Evolution of Open Source Intelligence', OSINT Report 3/2010, ISN, ETH Zürich, October 2010","http://www.isn.ethz.ch/isn/Digital-Library/Publications/Detail/?id=122008"
"Abdelrahman Rashdan: 'The Social Media OSINT Challenge to US Intelligence: Culture Not Gigabytes', in New Media Politics Rethinking Activism and National Security in Cyberspace. Ed. Banu Baybars-Hawks. Cambridge Scholars Publishing, 2015","https://www.academia.edu/20836279/The_Social_Media_OSINT_Challenge_to_US_Intelligence_Culture_not_Gigabytes"
"Open source intelligence methods and tools : a practical guide to online intelligence","https://www.worldcat.org/oclc/1043830928"
"An OSINT search of historic domain name whois records","https://whoisology.com/"
"The Open Source Intelligence Resource Discovery Toolkit","http://rr.reuser.biz/"
"The New Craft of Intelligence: Making the Most of Open Private Sector Knowledge","http://www.time.com/time/covers/1101020311/viewpoint.html"
"Actual Intelligence Case Studies Leveraging Open Source Intelligence (OSINT)","https://web.archive.org/web/20080216224135/http://www.cm2limited.com/casestudies/casestudies.php"
"Sailing the Sea of OSINT in the Information Age","https://www.cia.gov/library/center-for-the-study-of-intelligence/csi-publications/csi-studies/studies/vol48no3/article05.html"
"The Intelligence Network : I n t r o d u c t i o n","https://web.archive.org/web/20080509085418/http://www.intellnet.org/"
"OSINT discussion group","https://groups.yahoo.com/neo/groups/osint/info"
"Open Source Center","https://www.opensource.gov/"
"Open Source Intelligence (OSINT)","http://arnoreuser.com/"
"Collection and Use of Open-Source Intelligence – A to Z","http://intellit.muskingum.edu/opensource_folder/opensourcetoc.html"
"Open Source Intelligence (OSINT): Issues for Congress","https://fas.org/sgp/crs/intel/RL34270.pdf"
"The Free Library","https://www.thefreelibrary.com/FMSO-JRIC+and+Open+Source+Intelligence%3A+speaking+prose+in+a+world+of...-a0146354022"
